sample_id,sample_date,chemical,chem_conc,rolling_avg
Q1,1988-01-12,k,0.77,0.81
Q1,1988-01-12,mg,2.61,1.969090909090909
Q1,1988-01-12,ca,4.08,3.1363636363636362
Q1,1988-01-12,nh4_n,18,29.818181818181817
Q1,1988-01-12,no3_n,134,162.27272727272728
Q1,1988-01-19,k,0.75,0.8066666666666666
Q1,1988-01-19,mg,2.67,2.0275
Q1,1988-01-19,ca,4.16,3.2116666666666664
Q1,1988-01-19,nh4_n,21,29
Q1,1988-01-19,no3_n,125,158.16666666666666
Q1,1988-01-26,k,0.74,0.81
Q1,1988-01-26,mg,2.85,2.0976923076923075
Q1,1988-01-26,ca,4.41,3.3023076923076924
Q1,1988-01-26,nh4_n,14,28.923076923076923
Q1,1988-01-26,no3_n,123,157.69230769230768
Q1,1988-01-29,k,0.86,0.81
Q1,1988-01-29,mg,1.48,2.0976923076923075
Q1,1988-01-29,ca,2.4,3.3023076923076924
Q1,1988-01-29,nh4_n,21,28.923076923076923
Q1,1988-01-29,no3_n,77,157.69230769230768
Q1,1988-01-29,k,0.83,0.81
Q1,1988-01-29,mg,1.35,2.0976923076923075
Q1,1988-01-29,ca,2.06,3.3023076923076924
Q1,1988-01-29,nh4_n,31,28.923076923076923
Q1,1988-01-29,no3_n,81,157.69230769230768
Q1,1988-01-29,k,0.91,0.81
Q1,1988-01-29,mg,1.64,2.0976923076923075
Q1,1988-01-29,ca,2.65,3.3023076923076924
Q1,1988-01-29,nh4_n,27,28.923076923076923
Q1,1988-01-29,no3_n,281,157.69230769230768
Q1,1988-01-29,k,0.84,0.81
Q1,1988-01-29,mg,1.41,2.0976923076923075
Q1,1988-01-29,ca,2.63,3.3023076923076924
Q1,1988-01-29,nh4_n,24,28.923076923076923
Q1,1988-01-29,no3_n,267,157.69230769230768
Q1,1988-01-29,k,0.86,0.81
Q1,1988-01-29,mg,1.59,2.0976923076923075
Q1,1988-01-29,ca,2.67,3.3023076923076924
Q1,1988-01-29,nh4_n,21,28.923076923076923
Q1,1988-01-29,no3_n,242,157.69230769230768
Q1,1988-02-02,k,0.76,0.81
Q1,1988-02-02,mg,1.71,2.1592857142857143
Q1,1988-02-02,ca,2.78,3.374285714285714
Q1,1988-02-02,nh4_n,80,28.142857142857142
Q1,1988-02-02,no3_n,138,156.71428571428572
Q1,1988-02-02,k,0.79,0.81
Q1,1988-02-02,mg,1.62,2.1592857142857143
Q1,1988-02-02,ca,2.57,3.374285714285714
Q1,1988-02-02,nh4_n,17,28.142857142857142
Q1,1988-02-02,no3_n,168,156.71428571428572
Q1,1988-02-03,k,NA,0.81
Q1,1988-02-03,mg,NA,2.1592857142857143
Q1,1988-02-03,ca,NA,3.374285714285714
Q1,1988-02-03,nh4_n,NA,28.142857142857142
Q1,1988-02-03,no3_n,NA,156.71428571428572
Q1,1988-02-04,k,NA,0.81
Q1,1988-02-04,mg,NA,2.1592857142857143
Q1,1988-02-04,ca,NA,3.374285714285714
Q1,1988-02-04,nh4_n,NA,28.142857142857142
Q1,1988-02-04,no3_n,NA,156.71428571428572
Q1,1988-02-09,k,0.8,0.7893333333333333
Q1,1988-02-09,mg,2.73,2.1566666666666667
Q1,1988-02-09,ca,4.09,3.4086666666666665
