sample_id,sample_date,chemical,chem_conc
Q1,1988-01-12,k,0.77
Q1,1988-01-12,mg,2.61
Q1,1988-01-12,ca,4.08
Q1,1988-01-12,nh4_n,18
Q1,1988-01-12,no3_n,134
Q1,1988-01-19,k,0.75
Q1,1988-01-19,mg,2.67
Q1,1988-01-19,ca,4.16
Q1,1988-01-19,nh4_n,21
Q1,1988-01-19,no3_n,125
Q1,1988-01-26,k,0.74
Q1,1988-01-26,mg,2.85
Q1,1988-01-26,ca,4.41
Q1,1988-01-26,nh4_n,14
Q1,1988-01-26,no3_n,123
Q1,1988-01-29,k,0.86
Q1,1988-01-29,mg,1.48
Q1,1988-01-29,ca,2.4
Q1,1988-01-29,nh4_n,21
Q1,1988-01-29,no3_n,77
Q1,1988-01-29,k,0.83
Q1,1988-01-29,mg,1.35
Q1,1988-01-29,ca,2.06
Q1,1988-01-29,nh4_n,31
Q1,1988-01-29,no3_n,81
Q1,1988-01-29,k,0.91
Q1,1988-01-29,mg,1.64
Q1,1988-01-29,ca,2.65
Q1,1988-01-29,nh4_n,27
Q1,1988-01-29,no3_n,281
Q1,1988-01-29,k,0.84
Q1,1988-01-29,mg,1.41
Q1,1988-01-29,ca,2.63
Q1,1988-01-29,nh4_n,24
Q1,1988-01-29,no3_n,267
Q1,1988-01-29,k,0.86
Q1,1988-01-29,mg,1.59
Q1,1988-01-29,ca,2.67
Q1,1988-01-29,nh4_n,21
Q1,1988-01-29,no3_n,242
Q1,1988-02-02,k,0.76
Q1,1988-02-02,mg,1.71
Q1,1988-02-02,ca,2.78
Q1,1988-02-02,nh4_n,80
Q1,1988-02-02,no3_n,138
Q1,1988-02-02,k,0.79
Q1,1988-02-02,mg,1.62
Q1,1988-02-02,ca,2.57
Q1,1988-02-02,nh4_n,17
Q1,1988-02-02,no3_n,168
Q1,1988-02-03,k,NA
Q1,1988-02-03,mg,NA
Q1,1988-02-03,ca,NA
Q1,1988-02-03,nh4_n,NA
Q1,1988-02-03,no3_n,NA
Q1,1988-02-04,k,NA
Q1,1988-02-04,mg,NA
Q1,1988-02-04,ca,NA
Q1,1988-02-04,nh4_n,NA
Q1,1988-02-04,no3_n,NA
Q1,1988-02-09,k,0.8
Q1,1988-02-09,mg,2.73
Q1,1988-02-09,ca,4.09
Q1,1988-02-09,nh4_n,54
Q1,1988-02-09,no3_n,149
Q1,1988-02-10,k,NA
Q1,1988-02-10,mg,NA
Q1,1988-02-10,ca,NA
Q1,1988-02-10,nh4_n,NA
Q1,1988-02-10,no3_n,NA
Q1,1988-02-16,k,0.77
Q1,1988-02-16,mg,2.67
Q1,1988-02-16,ca,4.04
Q1,1988-02-16,nh4_n,20
Q1,1988-02-16,no3_n,113
Q1,1988-02-23,k,0.85
Q1,1988-02-23,mg,2.94
Q1,1988-02-23,ca,4.39
Q1,1988-02-23,nh4_n,28
Q1,1988-02-23,no3_n,152
Q1,1988-03-01,k,0.81
Q1,1988-03-01,mg,2.96
Q1,1988-03-01,ca,4.31
Q1,1988-03-01,nh4_n,18
Q1,1988-03-01,no3_n,144
Q1,1988-03-08,k,0.5
Q1,1988-03-08,mg,2.12
Q1,1988-03-08,ca,3.89
Q1,1988-03-08,nh4_n,25
Q1,1988-03-08,no3_n,144
Q1,1988-03-15,k,0.7
Q1,1988-03-15,mg,2.72
Q1,1988-03-15,ca,4.02
Q1,1988-03-15,nh4_n,34
Q1,1988-03-15,no3_n,148
Q1,1988-03-23,k,0.73
Q1,1988-03-23,mg,2.76
Q1,1988-03-23,ca,4.05
Q1,1988-03-23,nh4_n,13
Q1,1988-03-23,no3_n,144
Q1,1988-03-29,k,0.97
Q1,1988-03-29,mg,1.48
Q1,1988-03-29,ca,3.16
Q1,1988-03-29,nh4_n,8
Q1,1988-03-29,no3_n,291
Q1,1988-03-29,k,1.13
Q1,1988-03-29,mg,1.47
Q1,1988-03-29,ca,3.22
Q1,1988-03-29,nh4_n,7
Q1,1988-03-29,no3_n,283
Q1,1988-03-29,k,0.86
Q1,1988-03-29,mg,1.7
Q1,1988-03-29,ca,2.72
Q1,1988-03-29,nh4_n,10
Q1,1988-03-29,no3_n,239
Q1,1988-03-29,k,1.07
Q1,1988-03-29,mg,1.09
Q1,1988-03-29,ca,1.31
Q1,1988-03-29,nh4_n,20
Q1,1988-03-29,no3_n,291
Q1,1988-03-29,k,1.07
Q1,1988-03-29,mg,1.11
Q1,1988-03-29,ca,1.29
Q1,1988-03-29,nh4_n,8
Q1,1988-03-29,no3_n,300
Q1,1988-03-29,k,1.17
Q1,1988-03-29,mg,1.49
Q1,1988-03-29,ca,3.7
Q1,1988-03-29,nh4_n,13
