sample_id,sample_date,chemical,chem_conc,rolling_avg
Q1,1986-05-20,k,0.81,NA
Q1,1986-05-20,mg,3.04,NA
Q1,1986-05-20,ca,4.26,NA
Q1,1986-05-20,nh4_n,NA,NA
Q1,1986-05-20,no3_n,118,NA
Q1,1986-05-27,k,0.82,NA
Q1,1986-05-27,mg,3.13,NA
Q1,1986-05-27,ca,3.17,NA
Q1,1986-05-27,nh4_n,NA,NA
Q1,1986-05-27,no3_n,109,NA
Q1,1986-06-03,k,0.82,NA
Q1,1986-06-03,mg,3.15,NA
Q1,1986-06-03,ca,4.38,NA
Q1,1986-06-03,nh4_n,NA,NA
Q1,1986-06-03,no3_n,114,NA
Q1,1986-10-21,k,0.65,NA
Q1,1986-10-21,mg,2.73,NA
Q1,1986-10-21,ca,4.91,NA
Q1,1986-10-21,nh4_n,10,NA
Q1,1986-10-21,no3_n,124,NA
Q1,1986-10-28,k,0.62,NA
Q1,1986-10-28,mg,2.86,NA
Q1,1986-10-28,ca,4.6,NA
Q1,1986-10-28,nh4_n,40,NA
Q1,1986-10-28,no3_n,NA,NA
Q1,1986-11-04,k,0.64,NA
Q1,1986-11-04,mg,2.8,NA
Q1,1986-11-04,ca,4.45,NA
Q1,1986-11-04,nh4_n,10,NA
Q1,1986-11-04,no3_n,NA,NA
Q1,1986-11-10,k,0.69,NA
Q1,1986-11-10,mg,2.4,NA
Q1,1986-11-10,ca,3.93,NA
Q1,1986-11-10,nh4_n,47,NA
Q1,1986-11-10,no3_n,103,NA
Q1,1986-11-18,k,0.68,NA
Q1,1986-11-18,mg,2.66,NA
Q1,1986-11-18,ca,3.95,NA
Q1,1986-11-18,nh4_n,20,NA
Q1,1986-11-18,no3_n,153,NA
Q1,1986-11-25,k,0.77,NA
Q1,1986-11-25,mg,1.19,NA
Q1,1986-11-25,ca,2.11,NA
Q1,1986-11-25,nh4_n,NA,NA
Q1,1986-11-25,no3_n,264,NA
Q1,1986-12-02,k,0.66,NA
Q1,1986-12-02,mg,2.43,NA
Q1,1986-12-02,ca,3.95,NA
Q1,1986-12-02,nh4_n,16,NA
Q1,1986-12-02,no3_n,158,NA
Q1,1986-12-09,k,0.67,NA
Q1,1986-12-09,mg,2.74,NA
Q1,1986-12-09,ca,3.52,NA
Q1,1986-12-09,nh4_n,10,NA
Q1,1986-12-09,no3_n,106,NA
Q1,1986-12-16,k,0.62,NA
Q1,1986-12-16,mg,2.68,NA
Q1,1986-12-16,ca,3.94,NA
Q1,1986-12-16,nh4_n,10,NA
Q1,1986-12-16,no3_n,146,NA
Q1,1986-12-23,k,0.61,NA
Q1,1986-12-23,mg,2.8,NA
Q1,1986-12-23,ca,4.1,NA
Q1,1986-12-23,nh4_n,23,NA
